Thumbnail URL,Inventory number,Letter,Number,Painting title,Artist's name,Artist dates,Date made,Location,url,Pixel dimensions W x H,File format,Last updated,Notes
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0002-00-000011-web-PYR.tif/full/!500,500/0/default.jpg",L2,L,2,The Death of Saint Benedict: Predella Panel,Lorenzo Monaco,active 1399; died 1423 or 1424,1407-9,Room 57,https://www.nationalgallery.org.uk/paintings/lorenzo-monaco-san-benedetto-altarpiece,N/A,N/A,,
N/A,L3,L,3,Edward Grimston,Petrus Christus,active 1444; died 1475/6,1446,Room 52,https://www.nationalgallery.org.uk/paintings/petrus-christus-edward-grimston,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0010-00-000008-web-g-PYR.tif/full/!500,500/0/default.jpg",L10,L,10,Blessing Redeemer,Fra Angelico,active 1417; died 1455,about 1423,Not on display,https://www.nationalgallery.org.uk/paintings/fra-angelico-blessing-redeemer,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0014-00-000007-web-PYR.tif/full/!500,500/0/default.jpg",L14,L,14,Adam and Eve,Jan Gossaert (Jean Gossart),active 1508; died 1532,about 1520,Room 54,https://www.nationalgallery.org.uk/paintings/jan-gossaert-jean-gossart-adam-and-eve,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0015-00-000009-web-g-PYR.tif/full/!500,500/0/default.jpg",L15,L,15,Saints Mamas and James,Francesco PesellinoandFra Filippo Lippiand Workshop,1422 - 1457; born about 1406; died 1469,1455-60,Room 60,https://www.nationalgallery.org.uk/paintings/francesco-pesellino-and-fra-filippo-lippi-and-workshop-saints-mamas-and-james,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0037-00-000006-web-g-PYR.tif/full/!500,500/0/default.jpg",L37,L,37,The Quaratesi Madonna,Gentile da Fabriano,about 1385 - 1427,1425,Room 57,https://www.nationalgallery.org.uk/paintings/gentile-da-fabriano-the-quaratesi-madonna,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0040-00-000013-web-PYR.tif/full/!500,500/0/default.jpg",L40,L,40,Portrait of a Young Man,Bronzino,1503 - 1572,probably 1550-5,Room 2,https://www.nationalgallery.org.uk/paintings/bronzino-portrait-of-a-young-man,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0045-00-000006-web-PYR.tif/full/!500,500/0/default.jpg",L45,L,45,"The National Gallery 1886, Interior of Room 32",Giuseppe Gabrielli,active 1863 - 1886,1886,Not on display,https://www.nationalgallery.org.uk/paintings/giuseppe-gabrielli-the-national-gallery-1886-interior-of-room-32,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0162-00-000004-web-g-PYR.tif/full/!500,500/0/default.jpg",L162,L,162,The Rest on the Flight into Egypt,Pieter Lastman,1583 - 1633,1620,Room 24,https://www.nationalgallery.org.uk/paintings/pieter-lastman-the-rest-on-the-flight-into-egypt,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0275-00-000005-web-PYR.tif/full/!500,500/0/default.jpg",L275,L,275,Cimabue's Celebrated Madonna,"Frederic, Lord Leighton",1830 - 1896,1853-5,Not on display,https://www.nationalgallery.org.uk/paintings/frederic-lord-leighton-cimabue-s-celebrated-madonna,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0297-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L297,L,297,Dutch Boats in a Gale ('The Bridgewater Sea Piece'),Joseph Mallord William Turner,1775 - 1851,1801,Room 19,https://www.nationalgallery.org.uk/paintings/joseph-mallord-william-turner-dutch-boats-in-a-gale-the-bridgewater-sea-piece,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0578-00-000002-web-PYR.tif/full/!500,500/0/default.jpg",L578,L,578,Scenes from the Life of an Unidentified Bishop Saint,Pieter Aertsen,1507/8 - 1575,about 1560,Not on display,https://www.nationalgallery.org.uk/paintings/pieter-aertsen-scenes-from-the-life-of-an-unidentified-bishop-saint,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0601-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L601,L,601,Saint John the Evangelist,Domenichino,1581 - 1641,late 1620s,Room 32,https://www.nationalgallery.org.uk/paintings/domenichino-saint-john-the-evangelist,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0611-00-000007-web-PYR.tif/full/!500,500/0/default.jpg",L611,L,611,Portrait of a Young Man,Titian,active about 1506; died 1576,about 1515-20,Room 8,https://www.nationalgallery.org.uk/paintings/titian-portrait-of-a-young-man,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0658-00-000002-web-PYR.tif/full/!500,500/0/default.jpg",L658,L,658,Erasmus,Hans Holbein the Younger,1497/8 - 1543,1523,Room 54,https://www.nationalgallery.org.uk/paintings/hans-holbein-the-younger-erasmus,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0667-00-000004-web-g-PYR.tif/full/!500,500/0/default.jpg",L667,L,667,The Abduction of Helen,Master of the Judgement of Paris,active first half of the 15th century,about 1440-50,Room 62,https://www.nationalgallery.org.uk/paintings/master-of-the-judgement-of-paris-the-abduction-of-helen,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0668-00-000004-web-PYR.tif/full/!500,500/0/default.jpg",L668,L,668,Adoration of the Shepherds,Niccolò di Pietro Gerini,"documented 1368; died probably 1415, certainly by 1427",1383,Not on display,https://www.nationalgallery.org.uk/paintings/niccolo-di-pietro-gerini-adoration-of-the-shepherds,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0672-00-000002-web-PYR.tif/full/!500,500/0/default.jpg",L672,L,672,Portrait of Cezanne,Camille Pissarro,1830 - 1903,1874,Room 44,https://www.nationalgallery.org.uk/paintings/camille-pissarro-portrait-of-cezanne,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0674-00-000004-web-PYR.tif/full/!500,500/0/default.jpg",L674,L,674,The Small Meadows in Spring,Alfred Sisley,1839 - 1899,about 1880-1,Not on display,https://www.nationalgallery.org.uk/paintings/alfred-sisley-the-small-meadows-in-spring,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0675-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L675,L,675,Woman with a Cat,Edouard Manet,1832 - 1883,about 1880-2,Room 43,https://www.nationalgallery.org.uk/paintings/edouard-manet-woman-with-a-cat,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0687-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L687,L,687,Two Studies for 'The Three Graces',Louis Anquetin,1861 - 1932,about 1899,Not on display,https://www.nationalgallery.org.uk/paintings/louis-anquetin-two-studies-for-the-three-graces,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0688-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L688,L,688,After the Misdeed,Jean Béraud,1849 - 1936,about 1885 - 90,Not on display,https://www.nationalgallery.org.uk/paintings/jean-beraud-after-the-misdeed,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0689-00-000002-web-PYR.tif/full/!500,500/0/default.jpg",L689,L,689,Francis Poictevin,Jacques-Emile Blanche,1861 - 1942,1887,Not on display,https://www.nationalgallery.org.uk/paintings/jacques-emile-blanche-francis-poictevin,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0690-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L690,L,690,Woudrichem,Théophile de Bock,1851 - 1904,probably 1890s,Not on display,https://www.nationalgallery.org.uk/paintings/theophile-de-bock-woudrichem,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0691-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L691,L,691,A Greek Captive,Henriette Browne,1829 - 1901,1863,Not on display,https://www.nationalgallery.org.uk/paintings/henriette-browne-a-greek-captive,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0692-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L692,L,692,Winding Wool,Eugène Carrière,1849 - 1906,1887,Not on display,https://www.nationalgallery.org.uk/paintings/eugene-carriere-winding-wool,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0693-00-000002-web-PYR.tif/full/!500,500/0/default.jpg",L693,L,693,Head of a Child,Eugène Carrière,1849 - 1906,about 1891,Not on display,https://www.nationalgallery.org.uk/paintings/eugene-carriere-head-of-a-child,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0694-00-000004-web-PYR.tif/full/!500,500/0/default.jpg",L694,L,694,Ulysses after the Shipwreck,Jean-Charles Cazin,1841 - 1901,about 1880-4,Not on display,https://www.nationalgallery.org.uk/paintings/jean-charles-cazin-ulysses-after-the-shipwreck,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0695-00-000004-web-PYR.tif/full/!500,500/0/default.jpg",L695,L,695,Evening,Marie Cazin,1845 - 1924,probably about 1884-8,Not on display,https://www.nationalgallery.org.uk/paintings/marie-cazin-evening,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0696-00-000002-web-PYR.tif/full/!500,500/0/default.jpg",L696,L,696,Still Life with Water Jug,Paul Cezanne,1839 - 1906,about 1892-3,Room 45,https://www.nationalgallery.org.uk/paintings/paul-cezanne-still-life-with-water-jug,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0697-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L697,L,697,The Avenue at the Jas de Bouffan,Paul Cezanne,1839 - 1906,"1868-70, possibly later",Room 44,https://www.nationalgallery.org.uk/paintings/paul-cezanne-the-avenue-at-the-jas-de-bouffan,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0698-00-000004-web-PYR.tif/full/!500,500/0/default.jpg",L698,L,698,Park of Sansac (Indre-et-Loire),Armand Charnay,1844 - 1916,1885,Not on display,https://www.nationalgallery.org.uk/paintings/armand-charnay-park-of-sansac-indre-et-loire,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0699-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L699,L,699,Carlo Pellegrini,Hilaire-Germain-Edgar Degas,1834 - 1917,about 1876-7,Not on display,https://www.nationalgallery.org.uk/paintings/hilaire-germain-edgar-degas-carlo-pellegrini,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0700-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L700,L,700,Head of a Woman,Hilaire-Germain-Edgar Degas,1834 - 1917,about 1874,Not on display,https://www.nationalgallery.org.uk/paintings/hilaire-germain-edgar-degas-head-of-a-woman,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0701-00-000005-web-PYR.tif/full/!500,500/0/default.jpg",L701,L,701,Head of a Woman,Hilaire-Germain-Edgar Degas,1834 - 1917,about 1873,Not on display,https://www.nationalgallery.org.uk/paintings/hilaire-germain-edgar-degas-head-of-a-woman-1,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0702-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L702,L,702,Mr and Mrs Edwin Edwards,Ignace-Henri-Théodore Fantin-Latour,1836 - 1904,1875,Not on display,https://www.nationalgallery.org.uk/paintings/ignace-henri-theodore-fantin-latour-mr-and-mrs-edwin-edwards,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0703-00-000002-web-PYR.tif/full/!500,500/0/default.jpg",L703,L,703,Roses,Ignace-Henri-Théodore Fantin-Latour,1836 - 1904,1864,Not on display,https://www.nationalgallery.org.uk/paintings/ignace-henri-theodore-fantin-latour-roses,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0704-00-000002-web-PYR.tif/full/!500,500/0/default.jpg",L704,L,704,A Plate of Apples,Ignace-Henri-Théodore Fantin-Latour,1836 - 1904,1861,Not on display,https://www.nationalgallery.org.uk/paintings/ignace-henri-theodore-fantin-latour-a-plate-of-apples,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0705-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L705,L,705,The Judgement of Paris,Ignace-Henri-Théodore Fantin-Latour,1836 - 1904,about 1863,Not on display,https://www.nationalgallery.org.uk/paintings/ignace-henri-theodore-fantin-latour-the-judgement-of-paris,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0706-00-000004-web-PYR.tif/full/!500,500/0/default.jpg",L706,L,706,Self Portrait,Ignace-Henri-Théodore Fantin-Latour,1836 - 1904,1860,Not on display,https://www.nationalgallery.org.uk/paintings/ignace-henri-theodore-fantin-latour-self-portrait,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0707-00-000003-web-PYR.tif/full/!500,500/0/default.jpg",L707,L,707,The Tub,Jean-Louis Forain,1852 - 1931,about 1886-7,Not on display,https://www.nationalgallery.org.uk/paintings/jean-louis-forain-the-tub,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0708-00-000002-web-g-PYR.tif/full/!500,500/0/default.jpg",L708,L,708,Faa Iheihe,Paul Gauguin,1848 - 1903,1898,Room 43,https://www.nationalgallery.org.uk/paintings/paul-gauguin-faa-iheihe,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0709-00-000007-web-g-PYR.tif/full/!500,500/0/default.jpg",L709,L,709,Harvest: Le Pouldu,Paul Gauguin,1848 - 1903,1890,Room 45,https://www.nationalgallery.org.uk/paintings/paul-gauguin-harvest-le-pouldu,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0710-00-000004-web-PYR.tif/full/!500,500/0/default.jpg",L710,L,710,The Boulevard de Clichy under Snow,Norbert Goeneutte,1854 - 1894,1875-6,Not on display,https://www.nationalgallery.org.uk/paintings/norbert-goeneutte-the-boulevard-de-clichy-under-snow,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0711-00-000004-web-PYR.tif/full/!500,500/0/default.jpg",L711,L,711,Farms near Auvers,Vincent van Gogh,1853 - 1890,1890,Room 43,https://www.nationalgallery.org.uk/paintings/vincent-van-gogh-farms-near-auvers,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0712-00-000004-web-PYR.tif/full/!500,500/0/default.jpg",L712,L,712,Interior,Vilhelm Hammershøi,1864 - 1916,1899,Room 45,https://www.nationalgallery.org.uk/paintings/vilhelm-hammershoi-interior,N/A,N/A,,
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0713-00-000008-web-g-PYR.tif/full/!500,500/0/default.jpg",L713,L,713,Market at Concarneau,Robert Henri,1865 - 1929,1899,Not on display,https://www.nationalgallery.org.uk/paintings/robert-henri-market-at-concarneau,N/A,N/A,,
