Thumbnail URL,Inventory number,Letter,Number,Painting title,Artist's name,Artist dates,Date made,Location,url,Pixel dimensions W x H,File format,Last updated,Notes
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0002-00-000011-web-PYR.tif/full/!500,500/0/default.jpg",L2,L,2.0,The Death of Saint Benedict: Predella Panel,Lorenzo Monaco,active 1399; died 1423 or 1424,1407-9,Room 57,https://www.nationalgallery.org.uk/paintings/lorenzo-monaco-san-benedetto-altarpiece,,,,nan
,L3,L,3.0,Edward Grimston,Petrus Christus,active 1444; died 1475/6,1446,Room 52,https://www.nationalgallery.org.uk/paintings/petrus-christus-edward-grimston,,,,nan
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0010-00-000008-web-g-PYR.tif/full/!500,500/0/default.jpg",L10,L,10.0,Blessing Redeemer,Fra Angelico,active 1417; died 1455,about 1423,Not on display,https://www.nationalgallery.org.uk/paintings/fra-angelico-blessing-redeemer,,,,nan
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0014-00-000007-web-PYR.tif/full/!500,500/0/default.jpg",L14,L,14.0,Adam and Eve,Jan Gossaert (Jean Gossart),active 1508; died 1532,about 1520,Room 54,https://www.nationalgallery.org.uk/paintings/jan-gossaert-jean-gossart-adam-and-eve,12345x12345,TIFF,2025-03-31,nan
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0015-00-000009-web-g-PYR.tif/full/!500,500/0/default.jpg",L15,L,15.0,Saints Mamas and James,Francesco PesellinoandFra Filippo Lippiand Workshop,1422 - 1457; born about 1406; died 1469,1455-60,Room 60,https://www.nationalgallery.org.uk/paintings/francesco-pesellino-and-fra-filippo-lippi-and-workshop-saints-mamas-and-james,,,,nan
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0037-00-000006-web-g-PYR.tif/full/!500,500/0/default.jpg",L37,L,37.0,The Quaratesi Madonna,Gentile da Fabriano,about 1385 - 1427,1425,Room 57,https://www.nationalgallery.org.uk/paintings/gentile-da-fabriano-the-quaratesi-madonna,,,,nan
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0040-00-000013-web-PYR.tif/full/!500,500/0/default.jpg",L40,L,40.0,Portrait of a Young Man,Bronzino,1503 - 1572,probably 1550-5,Room 2,https://www.nationalgallery.org.uk/paintings/bronzino-portrait-of-a-young-man,,,,nan
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0045-00-000006-web-PYR.tif/full/!500,500/0/default.jpg",L45,L,45.0,"The National Gallery 1886, Interior of Room 32",Giuseppe Gabrielli,active 1863 - 1886,1886,Not on display,https://www.nationalgallery.org.uk/paintings/giuseppe-gabrielli-the-national-gallery-1886-interior-of-room-32,,,,nan
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0162-00-000004-web-g-PYR.tif/full/!500,500/0/default.jpg",L162,L,162.0,The Rest on the Flight into Egypt,Pieter Lastman,1583 - 1633,1620,Room 24,https://www.nationalgallery.org.uk/paintings/pieter-lastman-the-rest-on-the-flight-into-egypt,,,,nan
"https://www.nationalgallery.org.uk/server.iip?IIIF=/fronts/L-0275-00-000005-web-PYR.tif/full/!500,500/0/default.jpg",L275,L,275.0,Cimabue's Celebrated Madonna,"Frederic, Lord Leighton",1830 - 1896,1853-5,Not on display,https://www.nationalgallery.org.uk/paintings/frederic-lord-leighton-cimabue-s-celebrated-madonna,,,,nan
